"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"08/12/2022 00:05:00","CAPITL",61757,79.31,6.96,0.20
"08/12/2022 00:05:00","CENTRL",61754,74.14,1.59,0.00
"08/12/2022 00:05:00","DUNWOD",61760,81.99,9.21,-0.24
"08/12/2022 00:05:00","GENESE",61753,74.07,1.53,0.00
"08/12/2022 00:05:00","H Q",61844,70.44,-2.11,0.00
"08/12/2022 00:05:00","HUD VL",61758,80.56,7.84,-0.19
"08/12/2022 00:05:00","LONGIL",61762,83.74,10.95,-0.24
"08/12/2022 00:05:00","MHK VL",61756,75.52,2.98,0.00
"08/12/2022 00:05:00","MILLWD",61759,81.33,8.56,-0.23
"08/12/2022 00:05:00","N.Y.C.",61761,82.72,9.94,-0.24
"08/12/2022 00:05:00","NORTH",61755,70.59,-1.96,0.00
"08/12/2022 00:05:00","NPX",61845,77.13,5.66,1.07
"08/12/2022 00:05:00","O H",61846,72.91,0.36,0.00
"08/12/2022 00:05:00","PJM",61847,77.46,4.79,-0.13
"08/12/2022 00:05:00","WEST",61752,74.57,2.03,0.00
"08/12/2022 00:10:00","CAPITL",61757,71.24,7.20,11.72
"08/12/2022 00:10:00","CENTRL",61754,77.19,1.44,0.00
"08/12/2022 00:10:00","DUNWOD",61760,99.08,9.47,-13.85
"08/12/2022 00:10:00","GENESE",61753,76.97,1.21,0.00
"08/12/2022 00:10:00","H Q",61844,73.64,-2.12,0.00
"08/12/2022 00:10:00","HUD VL",61758,94.68,8.11,-10.81
"08/12/2022 00:10:00","LONGIL",61762,100.75,11.14,-13.86
"08/12/2022 00:10:00","MHK VL",61756,78.79,3.03,0.00
"08/12/2022 00:10:00","MILLWD",61759,98.23,8.86,-13.61
"08/12/2022 00:10:00","N.Y.C.",61761,99.91,10.30,-13.85
"08/12/2022 00:10:00","NORTH",61755,73.79,-1.97,0.00
"08/12/2022 00:10:00","NPX",61845,19.52,6.06,62.31
